Episode,Blue_Score,Red_Score,Blue_Patched,Red_Infected
590,53,21,7,3
591,54,1,6,1
592,42,13,7,1
593,56,-2,7,0
594,57,13,7,1
595,57,15,7,1
596,46,13,7,1
597,40,23,6,2
598,76,-2,6,0
599,37,17,6,3
600,63,13,7,1
601,83,5,7,1
602,43,5,7,1
603,69,33,6,3
604,46,28,7,3
605,24,1,6,1
606,49,12,7,2
607,51,26,7,3
608,75,16,7,2
609,87,33,7,3
610,68,15,7,1
611,61,22,6,3
612,63,15,6,1
613,9,9,7,2
614,49,46,7,4
615,80,33,7,3
616,63,16,6,2
617,38,30,7,2
618,60,21,6,2
619,66,-2,7,0
620,59,15,7,1
621,57,-3,7,1
622,55,18,7,2
623,23,23,7,2
624,54,32,7,4
625,65,-3,7,1
626,66,16,7,2
627,29,10,7,1
628,39,18,7,2
629,61,45,7,3
630,60,5,6,1
631,64,26,7,3
632,70,0,7,0
633,52,15,7,1
634,85,27,7,4
635,62,26,6,4
636,48,0,6,0
637,40,44,7,5
638,92,23,7,3
639,60,15,7,1
640,41,14,6,2
641,61,18,7,2
642,78,28,7,2
643,57,29,7,3
644,48,13,6,1
645,50,23,6,2
646,83,0,7,0
647,43,21,6,2
648,60,-1,7,1
649,64,50,7,4
650,81,20,7,2
651,17,31,6,4
652,23,13,7,1
653,55,-3,6,1
654,77,30,6,2
655,46,14,7,2
656,42,28,7,3
657,77,13,7,1
658,47,21,7,2
659,41,-2,7,0
660,40,35,6,3
661,43,0,5,0
662,62,15,7,1
663,87,15,6,1
664,38,17,7,3
665,69,33,7,3
666,81,0,7,0
667,75,-2,7,0
668,56,-2,7,0
669,54,13,7,2
670,66,20,7,3
671,73,16,7,2
672,61,6,7,1
673,47,10,6,2
674,47,53,6,4
675,56,8,7,1
676,56,18,7,2
677,45,-2,5,0
678,40,33,7,4
679,-9,-4,6,0
680,90,16,7,2
681,92,22,7,3
682,70,16,7,2
683,7,39,5,4
684,90,5,7,1
685,71,-2,7,0
686,53,14,7,2
687,80,5,7,1
688,47,-4,6,0
689,92,15,7,1
690,71,37,7,4
691,68,14,7,2
692,9,26,5,2
693,82,24,7,3
694,60,18,7,2
695,43,26,6,2
696,30,-2,5,0
697,101,-2,7,0
698,85,-2,7,0
699,56,8,7,1
700,32,0,5,0
701,38,8,7,1
702,77,34,7,4
703,94,14,7,2
704,26,14,7,2
705,58,5,7,1
706,29,20,7,4
707,79,15,7,1
708,69,30,7,3
709,53,46,7,4
710,34,11,7,1
711,32,25,7,2
712,56,28,7,2
713,64,13,7,1
714,62,37,7,4
715,28,29,7,4
716,56,33,7,5
717,74,8,7,2
718,46,55,7,4
719,32,-1,7,1
720,82,13,7,1
721,60,-4,7,0
722,55,5,7,1
723,55,-3,7,1
724,75,11,7,2
725,44,11,6,1
726,71,18,7,2
727,24,19,7,2
728,52,30,7,2
729,80,30,7,2
730,73,5,7,1
731,73,3,7,1
732,39,26,7,3
733,38,35,7,3
734,59,21,6,3
735,76,38,6,4
736,11,13,7,1
737,67,11,7,1
738,51,33,7,3
739,59,13,7,1
740,57,38,7,3
741,29,13,7,1
742,33,21,6,2
743,80,28,7,2
744,54,13,6,1
745,75,13,7,1
746,50,13,7,1
747,82,15,7,1
748,6,-1,6,1
749,54,24,7,3
750,40,29,6,4
751,66,15,7,1
752,57,1,7,1
753,37,6,7,1
754,40,0,7,0
